frame,time,cell_id,row,col
12,1.7999999999999998,7,49,14
13,1.95,21,1,30
13,1.95,17,3,4
13,1.95,15,6,47
13,1.95,11,8,10
13,1.95,24,10,27
13,1.95,25,10,35
13,1.95,23,15,25
13,1.95,22,15,33
13,1.95,14,17,29
13,1.95,13,21,33
13,1.95,16,25,6
13,1.95,19,26,9
13,1.95,12,27,48
13,1.95,4,31,26
13,1.95,20,33,10
13,1.95,2,34,20
13,1.95,1,35,39
13,1.95,8,38,35
13,1.95,6,39,31
13,1.95,3,43,29
13,1.95,18,44,8
13,1.95,5,45,9
13,1.95,9,46,23
13,1.95,10,49,10
13,1.95,7,49,14
14,2.1,21,1,30
14,2.1,17,3,4
14,2.1,15,6,47
14,2.1,11,8,10
14,2.1,24,10,27
14,2.1,25,10,35
14,2.1,23,15,25
14,2.1,22,15,33
14,2.1,14,17,29
14,2.1,13,21,33
14,2.1,16,25,6
14,2.1,19,26,9
14,2.1,12,27,48
14,2.1,4,30,26
14,2.1,20,31,10
14,2.1,2,34,20
14,2.1,1,35,39
14,2.1,8,38,35
14,2.1,6,39,31
14,2.1,3,43,29
14,2.1,18,44,8
14,2.1,5,45,9
14,2.1,9,46,23
14,2.1,10,49,10
14,2.1,7,49,14
15,2.25,21,1,30
15,2.25,17,3,4
15,2.25,15,6,47
15,2.25,11,8,10
15,2.25,24,10,27
15,2.25,25,10,35
15,2.25,23,15,25
15,2.25,22,15,32
15,2.25,14,16,30
15,2.25,13,20,33
15,2.25,16,25,6
15,2.25,19,26,9
15,2.25,12,27,48
15,2.25,4,30,26
15,2.25,20,31,10
15,2.25,2,33,20
15,2.25,1,35,39
15,2.25,8,38,35
15,2.25,6,39,31
15,2.25,3,43,29
15,2.25,18,44,8
15,2.25,5,45,9
15,2.25,9,46,23
15,2.25,10,48,10
15,2.25,7,49,14
16,2.4,21,1,30
16,2.4,17,4,4
16,2.4,15,6,47
16,2.4,11,8,10
16,2.4,24,10,27
16,2.4,25,10,35
16,2.4,23,15,25
16,2.4,22,15,31
16,2.4,14,16,30
16,2.4,13,20,32
16,2.4,16,25,6
16,2.4,19,26,9
16,2.4,12,27,48
16,2.4,4,30,26
16,2.4,20,31,10
16,2.4,2,33,21
16,2.4,1,35,39
16,2.4,8,38,35
16,2.4,6,39,31
16,2.4,3,43,28
16,2.4,18,44,8
16,2.4,5,44,9
16,2.4,9,46,23
16,2.4,10,49,10
16,2.4,7,49,14
17,2.55,21,1,30
17,2.55,17,4,4
17,2.55,15,7,47
17,2.55,11,8,9
17,2.55,24,10,27
17,2.55,25,10,35
17,2.55,23,15,25
17,2.55,22,15,31
17,2.55,14,16,30
17,2.55,13,20,32
17,2.55,16,25,6
17,2.55,19,26,8
17,2.55,12,27,48
17,2.55,4,30,26
17,2.55,20,32,11
17,2.55,2,33,21
17,2.55,1,35,39
17,2.55,8,38,35
17,2.55,6,39,31
17,2.55,3,42,29
17,2.55,18,44,8
17,2.55,5,44,9
17,2.55,9,45,22
17,2.55,10,49,9
17,2.55,7,49,14
18,2.6999999999999997,21,1,29
18,2.6999999999999997,17,4,4
18,2.6999999999999997,15,7,47
18,2.6999999999999997,11,9,9
18,2.6999999999999997,24,10,27
18,2.6999999999999997,25,10,34
18,2.6999999999999997,23,15,25
18,2.6999999999999997,22,15,31
18,2.6999999999999997,14,16,30
18,2.6999999999999997,13,20,32
18,2.6999999999999997,16,25,6
18,2.6999999999999997,19,26,8
18,2.6999999999999997,12,27,48
18,2.6999999999999997,4,30,26
18,2.6999999999999997,20,32,11
18,2.6999999999999997,2,33,20
18,2.6999999999999997,1,35,39
18,2.6999999999999997,6,39,31
18,2.6999999999999997,8,39,35
18,2.6999999999999997,3,42,29
18,2.6999999999999997,18,44,8
18,2.6999999999999997,5,44,9
18,2.6999999999999997,9,45,22
18,2.6999999999999997,10,49,9
18,2.6999999999999997,7,49,14
19,2.85,21,1,29
19,2.85,17,4,4
19,2.85,15,7,47
19,2.85,11,9,9
19,2.85,24,10,27
19,2.85,25,10,34
19,2.85,23,15,26
19,2.85,22,15,32
19,2.85,14,16,30
19,2.85,13,19,33
19,2.85,16,25,6
19,2.85,19,26,8
19,2.85,12,26,48
19,2.85,4,30,26
19,2.85,20,32,12
19,2.85,2,33,20
19,2.85,1,34,40
19,2.85,6,39,31
19,2.85,8,39,35
19,2.85,3,42,29
19,2.85,18,44,8
19,2.85,5,44,9
19,2.85,9,45,23
19,2.85,10,49,9
19,2.85,7,49,14
20,3.0,21,1,28
20,3.0,17,4,4
20,3.0,15,7,48
20,3.0,11,9,9
20,3.0,24,10,27
20,3.0,25,10,34
20,3.0,23,15,26
20,3.0,22,15,32
20,3.0,14,16,30
20,3.0,13,17,33
20,3.0,16,25,7
20,3.0,19,26,8
20,3.0,12,26,48
20,3.0,20,30,12
20,3.0,4,32,25
20,3.0,2,33,20
20,3.0,1,34,40
20,3.0,6,39,31
20,3.0,8,39,35
20,3.0,3,42,29
20,3.0,18,43,8
20,3.0,5,44,9
20,3.0,9,45,23
20,3.0,7,48,14
20,3.0,10,49,9
21,3.15,21,1,28
21,3.15,17,4,4
21,3.15,15,7,48
21,3.15,11,9,9
21,3.15,24,10,27
21,3.15,25,10,34
21,3.15,23,15,26
21,3.15,22,15,32
21,3.15,14,16,29
21,3.15,13,17,33
21,3.15,16,25,8
21,3.15,19,26,8
21,3.15,12,26,48
21,3.15,20,30,12
21,3.15,4,32,25
21,3.15,2,33,20
21,3.15,1,34,40
21,3.15,6,39,30
21,3.15,8,39,35
21,3.15,3,42,29
21,3.15,18,43,8
21,3.15,5,44,9
21,3.15,9,45,23
21,3.15,7,48,14
21,3.15,10,49,9
22,3.3,21,1,28
22,3.3,17,4,4
22,3.3,15,7,48
22,3.3,11,9,9
22,3.3,25,10,34
22,3.3,24,11,27
22,3.3,23,15,26
22,3.3,22,15,32
22,3.3,14,16,29
22,3.3,13,17,33
22,3.3,16,25,8
22,3.3,19,26,7
22,3.3,12,26,48
22,3.3,20,30,12
22,3.3,4,33,25
22,3.3,2,34,20
22,3.3,1,35,40
22,3.3,6,39,30
22,3.3,8,39,35
22,3.3,3,42,29
22,3.3,18,43,8
22,3.3,5,43,9
22,3.3,9,45,23
22,3.3,7,48,14
22,3.3,10,49,10
23,3.4499999999999997,21,0,28
23,3.4499999999999997,17,4,4
23,3.4499999999999997,15,7,48
23,3.4499999999999997,11,9,9
23,3.4499999999999997,24,11,27
23,3.4499999999999997,25,11,34
23,3.4499999999999997,23,15,26
23,3.4499999999999997,22,15,32
23,3.4499999999999997,14,16,29
23,3.4499999999999997,13,17,33
23,3.4499999999999997,16,25,8
23,3.4499999999999997,12,26,48
23,3.4499999999999997,19,27,6
23,3.4499999999999997,20,30,13
23,3.4499999999999997,4,33,25
23,3.4499999999999997,2,34,20
23,3.4499999999999997,1,35,40
23,3.4499999999999997,6,39,29
23,3.4499999999999997,8,39,35
23,3.4499999999999997,3,42,29
23,3.4499999999999997,18,43,8
23,3.4499999999999997,5,43,9
23,3.4499999999999997,9,45,23
23,3.4499999999999997,7,48,14
23,3.4499999999999997,10,49,10
24,3.5999999999999996,21,0,28
24,3.5999999999999996,17,4,4
24,3.5999999999999996,15,7,49
24,3.5999999999999996,11,9,9
24,3.5999999999999996,24,11,27
24,3.5999999999999996,25,11,34
24,3.5999999999999996,22,14,32
24,3.5999999999999996,23,15,26
24,3.5999999999999996,14,16,29
24,3.5999999999999996,13,18,33
24,3.5999999999999996,16,25,8
24,3.5999999999999996,12,26,48
24,3.5999999999999996,19,27,6
24,3.5999999999999996,20,31,13
24,3.5999999999999996,2,34,20
24,3.5999999999999996,4,34,25
24,3.5999999999999996,1,35,40
24,3.5999999999999996,6,39,29
24,3.5999999999999996,8,39,35
24,3.5999999999999996,3,42,30
24,3.5999999999999996,18,43,8
24,3.5999999999999996,5,43,9
24,3.5999999999999996,9,45,23
24,3.5999999999999996,7,48,14
24,3.5999999999999996,10,49,10
25,3.75,21,0,28
25,3.75,17,4,4
25,3.75,15,7,49
25,3.75,11,9,9
25,3.75,24,11,27
25,3.75,25,11,35
25,3.75,23,14,26
25,3.75,22,15,32
25,3.75,14,17,29
25,3.75,13,18,32
25,3.75,16,25,8
25,3.75,12,26,48
25,3.75,19,27,6
25,3.75,20,31,12
25,3.75,2,33,20
25,3.75,4,35,25
25,3.75,1,35,40
25,3.75,6,39,29
25,3.75,8,39,35
25,3.75,3,42,30
25,3.75,18,43,8
25,3.75,5,43,9
25,3.75,9,45,23
25,3.75,7,48,14
25,3.75,10,49,10
26,3.9,21,0,28
26,3.9,17,4,4
26,3.9,15,7,49
26,3.9,11,9,10
26,3.9,24,10,27
26,3.9,25,11,35
26,3.9,23,14,27
26,3.9,22,15,32
26,3.9,14,17,29
26,3.9,13,18,32
26,3.9,16,25,8
26,3.9,19,27,6
26,3.9,12,27,47
26,3.9,20,31,12
26,3.9,2,33,20
26,3.9,4,35,25
26,3.9,1,35,40
26,3.9,6,39,29
26,3.9,8,40,35
26,3.9,3,42,31
26,3.9,18,43,8
26,3.9,5,43,9
26,3.9,9,45,23
26,3.9,7,48,14
26,3.9,10,49,10
27,4.05,21,1,28
27,4.05,17,5,4
27,4.05,15,8,49
27,4.05,11,9,10
27,4.05,24,10,27
27,4.05,25,11,34
27,4.05,23,14,27
27,4.05,22,15,32
27,4.05,14,18,29
27,4.05,13,18,32
27,4.05,16,25,8
27,4.05,12,26,47
27,4.05,19,27,6
27,4.05,20,31,12
27,4.05,2,33,21
27,4.05,4,35,25
27,4.05,1,35,40
27,4.05,6,39,29
27,4.05,8,41,35
27,4.05,3,42,31
27,4.05,18,43,8
27,4.05,5,43,9
27,4.05,9,45,23
27,4.05,7,48,14
27,4.05,10,49,10
28,4.2,21,1,28
28,4.2,17,5,4
28,4.2,15,8,49
28,4.2,11,9,10
28,4.2,24,10,27
28,4.2,25,11,34
28,4.2,23,14,27
28,4.2,22,15,32
28,4.2,14,18,29
28,4.2,13,18,32
28,4.2,16,24,8
28,4.2,12,26,46
28,4.2,19,27,6
28,4.2,20,31,12
28,4.2,2,33,21
28,4.2,1,35,39
28,4.2,4,36,25
28,4.2,6,39,29
28,4.2,8,41,36
28,4.2,18,43,8
28,4.2,5,43,9
28,4.2,3,43,31
28,4.2,9,45,22
28,4.2,10,48,10
28,4.2,7,48,14
29,4.35,21,1,28
29,4.35,17,6,3
29,4.35,11,8,10
29,4.35,15,8,49
29,4.35,24,10,27
29,4.35,25,11,34
29,4.35,23,14,27
29,4.35,22,15,32
29,4.35,14,18,30
29,4.35,13,18,32
29,4.35,16,24,8
29,4.35,12,26,46
29,4.35,19,27,6
29,4.35,20,31,12
29,4.35,2,33,21
29,4.35,4,35,25
29,4.35,1,35,39
29,4.35,6,39,29
29,4.35,8,40,36
29,4.35,18,43,7
29,4.35,5,43,10
29,4.35,3,43,31
29,4.35,9,45,22
29,4.35,10,48,10
29,4.35,7,48,14
30,4.5,21,1,28
30,4.5,17,7,4
30,4.5,11,8,10
30,4.5,15,8,49
30,4.5,24,10,27
30,4.5,25,10,34
30,4.5,23,14,27
30,4.5,22,15,32
30,4.5,14,18,30
30,4.5,13,18,33
30,4.5,16,24,8
30,4.5,12,26,46
30,4.5,19,27,6
30,4.5,20,31,12
30,4.5,2,33,21
30,4.5,4,35,25
30,4.5,1,35,38
30,4.5,6,39,29
30,4.5,8,40,36
30,4.5,18,43,7
30,4.5,5,43,10
30,4.5,3,43,31
30,4.5,9,46,22
30,4.5,10,48,10
30,4.5,7,48,14
31,4.6499999999999995,21,1,29
31,4.6499999999999995,17,7,4
31,4.6499999999999995,11,8,11
31,4.6499999999999995,15,8,49
31,4.6499999999999995,24,10,27
31,4.6499999999999995,25,10,34
31,4.6499999999999995,23,14,27
31,4.6499999999999995,22,15,32
31,4.6499999999999995,14,18,30
31,4.6499999999999995,13,19,33
31,4.6499999999999995,16,24,8
31,4.6499999999999995,12,26,46
31,4.6499999999999995,19,27,6
31,4.6499999999999995,20,31,12
31,4.6499999999999995,2,32,21
31,4.6499999999999995,4,35,25
31,4.6499999999999995,1,35,38
31,4.6499999999999995,6,39,29
31,4.6499999999999995,8,40,36
31,4.6499999999999995,18,43,7
31,4.6499999999999995,5,43,10
31,4.6499999999999995,3,43,31
31,4.6499999999999995,9,46,22
31,4.6499999999999995,10,48,10
31,4.6499999999999995,7,49,14
32,4.8,21,1,29
32,4.8,17,7,4
32,4.8,11,8,11
32,4.8,15,8,49
32,4.8,24,10,27
32,4.8,25,10,34
32,4.8,23,14,27
32,4.8,22,16,32
32,4.8,14,18,30
32,4.8,13,19,33
32,4.8,16,24,8
32,4.8,12,26,46
32,4.8,19,27,6
32,4.8,20,31,12
32,4.8,2,33,21
32,4.8,4,35,25
32,4.8,1,35,38
32,4.8,6,39,29
32,4.8,8,41,37
32,4.8,18,43,7
32,4.8,5,43,10
32,4.8,3,44,31
32,4.8,9,46,22
32,4.8,10,48,10
32,4.8,7,49,15
33,4.95,21,3,29
33,4.95,17,7,4
33,4.95,11,8,11
33,4.95,25,9,34
33,4.95,15,9,49
33,4.95,24,10,27
33,4.95,23,14,27
33,4.95,22,16,32
33,4.95,14,18,30
33,4.95,13,19,33
33,4.95,16,24,8
33,4.95,12,26,46
33,4.95,19,27,6
33,4.95,20,31,12
33,4.95,2,34,21
33,4.95,4,35,25
33,4.95,1,35,38
33,4.95,6,39,29
33,4.95,8,41,37
33,4.95,5,42,10
33,4.95,18,43,7
33,4.95,3,44,31
33,4.95,9,46,22
33,4.95,10,48,10
33,4.95,7,49,15
34,5.1,21,4,29
34,5.1,17,7,4
34,5.1,11,8,12
34,5.1,24,9,27
34,5.1,25,9,34
34,5.1,15,9,48
34,5.1,23,14,27
34,5.1,22,16,32
34,5.1,14,17,30
34,5.1,13,19,33
34,5.1,16,24,9
34,5.1,19,26,6
34,5.1,12,26,47
34,5.1,20,31,12
34,5.1,2,34,21
34,5.1,4,35,25
34,5.1,1,35,38
34,5.1,6,39,29
34,5.1,8,41,37
34,5.1,5,42,10
34,5.1,18,44,7
34,5.1,3,44,31
34,5.1,9,46,22
34,5.1,10,48,10
34,5.1,7,49,15
35,5.25,21,4,29
35,5.25,17,7,4
35,5.25,11,9,12
35,5.25,24,9,27
35,5.25,25,9,34
35,5.25,15,10,48
35,5.25,23,14,27
35,5.25,14,16,31
35,5.25,22,16,32
35,5.25,13,19,33
35,5.25,16,24,9
35,5.25,19,26,6
35,5.25,12,26,47
35,5.25,20,31,12
35,5.25,2,34,21
35,5.25,4,35,25
35,5.25,1,35,38
35,5.25,6,39,29
35,5.25,8,41,37
35,5.25,5,42,10
35,5.25,18,44,7
35,5.25,3,44,32
35,5.25,9,46,22
35,5.25,10,49,10
35,5.25,7,49,15
36,5.3999999999999995,21,4,30
36,5.3999999999999995,17,7,4
36,5.3999999999999995,11,9,12
36,5.3999999999999995,24,9,28
36,5.3999999999999995,25,9,33
36,5.3999999999999995,15,10,48
36,5.3999999999999995,23,14,27
36,5.3999999999999995,14,17,31
36,5.3999999999999995,22,17,32
36,5.3999999999999995,13,19,33
36,5.3999999999999995,16,24,9
36,5.3999999999999995,19,26,6
36,5.3999999999999995,12,26,47
36,5.3999999999999995,20,31,11
36,5.3999999999999995,2,34,21
36,5.3999999999999995,4,35,26
36,5.3999999999999995,1,35,38
36,5.3999999999999995,6,39,28
36,5.3999999999999995,8,40,37
36,5.3999999999999995,5,43,10
36,5.3999999999999995,18,44,7
36,5.3999999999999995,3,44,32
36,5.3999999999999995,9,46,22
36,5.3999999999999995,10,49,9
36,5.3999999999999995,7,49,15
37,5.55,21,4,30
37,5.55,17,7,5
37,5.55,25,8,34
37,5.55,11,9,12
37,5.55,24,9,28
37,5.55,15,10,48
37,5.55,23,14,27
37,5.55,14,17,31
37,5.55,22,17,32
37,5.55,13,20,33
37,5.55,16,24,9
37,5.55,19,26,6
37,5.55,12,26,47
37,5.55,20,31,11
37,5.55,2,34,21
37,5.55,4,34,26
37,5.55,1,35,38
37,5.55,6,39,28
37,5.55,8,40,38
37,5.55,18,43,7
37,5.55,5,43,10
37,5.55,3,44,32
37,5.55,9,47,21
37,5.55,10,48,9
37,5.55,7,49,15
38,5.7,21,4,30
38,5.7,17,7,5
38,5.7,11,9,12
38,5.7,24,9,28
38,5.7,25,9,35
38,5.7,15,10,47
38,5.7,23,14,28
38,5.7,14,17,31
38,5.7,22,17,32
38,5.7,13,21,33
38,5.7,16,24,9
38,5.7,19,26,5
38,5.7,12,26,47
38,5.7,20,31,11
38,5.7,2,34,21
38,5.7,4,34,26
38,5.7,1,35,38
38,5.7,6,38,29
38,5.7,8,40,37
38,5.7,18,43,7
38,5.7,5,43,11
38,5.7,3,44,32
38,5.7,9,46,21
38,5.7,10,48,9
38,5.7,7,49,15
39,5.85,21,4,30
39,5.85,17,7,5
39,5.85,11,9,12
39,5.85,24,9,28
39,5.85,25,9,36
39,5.85,15,10,47
39,5.85,23,14,28
39,5.85,14,17,31
39,5.85,22,17,33
39,5.85,13,20,33
39,5.85,16,24,10
39,5.85,19,26,5
39,5.85,12,26,47
39,5.85,20,31,11
39,5.85,4,33,26
39,5.85,2,34,21
39,5.85,1,35,38
39,5.85,6,38,29
39,5.85,8,40,37
39,5.85,18,43,7
39,5.85,5,43,11
39,5.85,3,44,32
39,5.85,9,46,21
39,5.85,10,48,9
39,5.85,7,49,15
40,6.0,21,4,31
40,6.0,17,8,5
40,6.0,11,9,12
40,6.0,24,9,28
40,6.0,25,9,36
40,6.0,15,10,47
40,6.0,23,14,28
40,6.0,22,17,33
40,6.0,14,18,31
40,6.0,13,21,33
40,6.0,16,24,10
40,6.0,19,25,5
40,6.0,12,26,47
40,6.0,20,31,10
40,6.0,4,33,26
40,6.0,2,34,21
40,6.0,1,34,38
40,6.0,6,38,29
40,6.0,8,40,37
40,6.0,18,43,7
40,6.0,5,43,11
40,6.0,3,45,32
40,6.0,9,46,21
40,6.0,10,48,9
40,6.0,7,49,15
41,6.1499999999999995,21,4,30
41,6.1499999999999995,17,8,5
41,6.1499999999999995,11,9,12
41,6.1499999999999995,24,9,28
41,6.1499999999999995,25,9,35
41,6.1499999999999995,15,10,47
41,6.1499999999999995,23,14,29
41,6.1499999999999995,22,17,33
41,6.1499999999999995,14,18,31
41,6.1499999999999995,13,21,33
41,6.1499999999999995,16,24,10
41,6.1499999999999995,19,25,5
41,6.1499999999999995,12,26,47
41,6.1499999999999995,20,31,11
41,6.1499999999999995,4,33,26
41,6.1499999999999995,2,34,21
41,6.1499999999999995,1,34,38
41,6.1499999999999995,6,38,29
41,6.1499999999999995,8,40,37
41,6.1499999999999995,18,43,7
41,6.1499999999999995,5,43,11
41,6.1499999999999995,3,45,32
41,6.1499999999999995,9,46,21
41,6.1499999999999995,10,49,10
41,6.1499999999999995,7,49,15
42,6.3,21,4,30
42,6.3,17,7,5
42,6.3,11,9,12
42,6.3,24,9,28
42,6.3,25,9,35
42,6.3,15,10,47
42,6.3,23,13,29
42,6.3,22,17,33
